Projet	Titre du projet	Title Translated	Engagement de GdB (USD)	Descriptif	Agence de financement	Source de Financement	Région	Province	Commune	A l’Echelle National	Secteur	Sous-Secteur
BDI/000227	Organisations de la société civile: Appui et renforcement (OSCAR)	Civil society support and capacity (OSCAR)		Appui à la participation des ANE aux processus de consolidation de la paix d'une part et aux processus d’élaboration, de mise en œuvre et de suivi des politiques de développement d'autre part.	Commission de l'Union Européenne	Commission de l'Union Européenne	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Cankuzo; Muramvya; Ruyigi; Makamba; Cibitoke	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000228	Assistance agricoles  d’urgence aux populations vulnérables affectées par les aléas climatiques.	Agricultural Assistance Emergency vulnerable populations affected by climate hazards.			Banque Africaine de Développement	Banque Africaine de Développement	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000229	Assistance agricole d’urgence aux populations vulnérabilisées par le conflit et en phase de réinstallation et/ou réinsertion (rapatriés, refoulés et déplacés internes) sur leurs anciennes ou nouvelles terres.	Agricultural emergency assistance to vulnerable by conflict and resettlement phase and / or reintegration (returnees, deportees and IDPs) to their former lands or new populations.			Banque Africaine de Développement	Banque Africaine de Développement	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000230	Assistance to the restoration of food security and livelihoods through the provision of agricultural inputs and technical support to returnee households and their host communities in the eastern provinces of Burundi.	Assistance to the restoration of food security and livelihoods through the provision of agricultural inputs and technical support to returnee households and their host communities in the eastern provinces of Burundi.			Japon	Japon	Centre-Est	Cankuzo; Ruyigi; Karuzi	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000231	OSRO/RAF/808/SWE   Regional response to Food Insecurity, HIV, and GBV          in Eastern Africa	OSRO/RAF/808/SWE   Regional response to Food Insecurity, HIV, and GBV          in Eastern Africa			Ministère des affaires étrangères de la Suède	Suède	Non spécifié	Non spécifié	Non spécifié	Non	AIDE-PROGRAMME ET AIDE SOUS FORME DE PRODUITS; SANTE	Aide alimentaire à des fins de développement/aide à la sécurité alimentaire; Santé, général
BDI/000232	Amélioration des productions et des productivités agricoles pour  les populations retournées ou en cours de réinstallation.	Improving agricultural production and productivity for populations returned or being resettled.			Spanish Agency for International Cooperation (AECI)	Espagne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000233	Appui à la recapitalisation des ménages vulnérables affectés par  la crise à travers le repeuplement du cheptel.	Support the recapitalization of vulnerable households affected by the crisis through the restocking of hives.			Spanish Agency for International Cooperation (AECI)	Espagne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Bétail
BDI/000234	Appui à la réintégration rapide des ménages retournés dans  leurs communautés d'accueil dans les provinces de Bururi,  Makamba, Rutana, Ruyigi, Cankuzo et Muyinga.	Support the rapid reintegration of returnee households in their host communities in the provinces of Bururi  Makamba, Rutana, Ruyigi, Cankuzo and Muyinga.			Ministère des affaires étrangères de la Suède	Suède	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Assistance matérielle et services d’urgence
BDI/000235	Assistance agricole d'urgence aux populations en phase de réinstallation/réinsertion (rapatriés, déplacés internes et ex-combattants) sur leurs anciennes ou nouvelles terres, et aux ménages vulnérabilisées par les récents aléas climatiques	Emergency agricultural assistance to populations in phase resettlement / reintegration (returnees, IDPs and ex-combatants) on their old and new lands, and households vulnerable by recent weather conditions			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000236	Integrated response to the food and nutritional crisis in the Burundi’  provinces of Kirundo, Cankuzo and Ruyigi	Integrated response to the food and nutritional crisis in the Burundi’  provinces of Kirundo, Cankuzo and Ruyigi			OCHA	Nations Unies	Centre-Est; Nord	Cankuzo; Kirundo; Ruyigi	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000237	Projet de sécurité alimentaire en appui aux populations rurales  et périurbaines vulnérables ainsi qu'au système  d'alerte précoce et de surveillance de la sécurité  alimentaire au Burundi	Food security project to support rural populations and peri vulnerable as well as system early warning and security monitoring Food in Burundi			Organisation des Nations Unies pour l'alimentation et l'agriculture	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000238	Appui à la stabilisation des structures associatives communautaires de production et de conservation de semences et matériel végétal de qualité.	Support stabilization Community associative structures of production and conservation of seeds and plant material quality.			Belgique	Belgique	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000239	Intervention agricole d’urgence en appui à la réinsertion et à la réintégration des rapatriées.	Agricultural Emergency Response to support the rehabilitation and reintegration of returnees.			OCHA	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000240	Assistance technique dans l`approche "Livestock Farmer Field Schools	Technical assistance in the `" Livestock Farmer Field Schools approach			Banque Africaine de Développement	Banque Africaine de Développement	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000241	Intervention d’urgence en appui des moyens de vie des ménages  les plus vulnérables affectés par la crise alimentaire	Emergency support livelihoods of the most vulnerable households affected by the food crisis response			OCHA	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	AIDE-PROGRAMME ET AIDE SOUS FORME DE PRODUITS	Programmes de sécurité et d’aide alimentaire
BDI/000242	Plan d'action commun d'appui aux médias	Media support for common action plan			Department for International Development (DFID)	Royaume-Uni	Non spécifié	Non spécifié	Non spécifié	Non	COMMUNICATIONS	Radio, télévision, presse écrite
BDI/000243	Fonds de réserve pour l'appui aux éléctions	Reserve Fund support for elections			Department for International Development (DFID)	Royaume-Uni	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Élections
BDI/000244	Conseiller au processus électoral	Advise the electoral process			Department for International Development (DFID)	Royaume-Uni	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000245	Contribution aux fonds communpour l'appui aux élections 2010	Contribution to communpour election support fund 2010			Department for International Development (DFID)	Royaume-Uni	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000246	Soutien à l'amélioration de la gouvernance à l'école primaire	Support for improved governance in primary school			Department for International Development (DFID)	Royaume-Uni	Ouest; Nord	Kayanza; Muramvya	Non spécifié	Non	EDUCATION	Éducation de base
BDI/000247	Enquête démographique et de santé	Demographic and Health Survey			Department for International Development (DFID)	Royaume-Uni	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Santé, général
BDI/000248	Aide financière à la CAMEBU	Financial assistance to CAMEBU			Department for International Development (DFID)	Royaume-Uni	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Santé, général
BDI/000249	Appui à l'éducation primaire	Support to Primary Education			Department for International Development (DFID)	Royaume-Uni	Non spécifié	Non spécifié	Non spécifié	Non	EDUCATION	Enseignement primaire
BDI/000250	Contribution au programme annuel de CICR Burundi 2009 et 2010	Contribution to the annual program ICRC Burundi 2009 and 2010			Department for International Development (DFID)	Royaume-Uni	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000251	Assistance agricole d’urgence aux populations vulnérabilisées par le conflit et en phase de réinstallation et/ou réinsertion (rapatriés, refoulés et déplacés internes) sur leurs anciennes ou nouvelles terres	Agricultural emergency assistance to vulnerable by conflict and resettlement phase and / or reintegration (returnees, deportees and IDPs) to their former lands or new populations			Belgique	Belgique	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Produits à usage agricole
BDI/000252	Appui à la restauration des capacités de production et à la réinsertion socioéconomique des ménages retournés dans les provinces de Ruyigi,  Rutana, Makamba etBururi	Support restoration capabilities production and socio-economic reintegration households returned Ruyigi, Rutana, Makamba etBururi			Organisation des Nations Unies pour l'alimentation et l'agriculture	Nations Unies	Sud; Centre-Est	Rutana; Ruyigi; Bururi; Makamba	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000253	ACP-UE Water facility firt global commitement on decision of 247 meur-N+1 applies	ACP-UE Water facility firt global commitement on decision of 247 meur-N+1 applies			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	DISTRIBUTION D’EAU ET ASSAINISSEMENT	Distribution d’eau et assainissement – systèmes à grande échelle
BDI/000254	Appui à la Décentralisation et Lutte contre la Pauvreté, ADLP	Decentralization Support and Fight against Poverty ADLP			Allemagne	Allemagne	Sud; Centre-Est	Mwaro; Gitega	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000255	Energising Developement (EnDev2) Burundi	Energising Developement (EnDev2) Burundi			Allemagne	Allemagne	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	PRODUCTION ET DISTRIBUTION D’ENERGIE	Énergie solaire
BDI/000256	Protection et assistance aux rapatriés, réfugiés et demandeurs d'asile.	Protection and assistance to returnees, refugees and asylum seekers.			Belgique; Haut Commissariat des Nations Unies pour les Réfugiés	Belgique; Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000257	Facilités des Etas Fragiles      "FEF"	Facilities ETAS Fragile "FSF"			Banque Africaine de Développement	Banque Africaine de Développement	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Politique / planification économique et du développement
BDI/000258	Développement d’Horticulture Urbaine et Péri-urbaine au Burundi	Development of Urban Horticulture and Peri-urban to Burundi			Belgique	Belgique	Ouest	Bubanza; Muramvya; Bujumbura Rural; Mairie de Bujumbura	Non spécifié	Non	AGRICULTURE	Récoltes destinées à l’exportation
BDI/000259	Improvement of food security in cross-border districts of Burundi, Rwanda and Uganda, in support of the modernization of agriculture under NEPAD framework	Improvement of food security in cross-border districts of Burundi, Rwanda and Uganda, in support of the modernization of agriculture under NEPAD framework			Organisation des Nations Unies pour l'alimentation et l'agriculture	Nations Unies	Nord	Kayanza; Ngozi; Kirundo	Non spécifié	Non	AGRICULTURE	Politique agricole et gestion administrative
BDI/000260	Appui à la gestion durable des peuplements d’eucalyptus et de punis et au partage équitable des bénéfices	Support the sustainable management of eucalyptus stands and punished and equitable sharing of benefits			Organisation des Nations Unies pour l'alimentation et l'agriculture	Nations Unies	Sud; Ouest	Bujumbura Rural; Bururi	Non spécifié	Non	AGRICULTURE	Développement agricole alternatif
BDI/000261	Projet de fourniture des médicaments	Project to supply drugs			Ambassade de Chine	Chine	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Services médicaux
BDI/000262	Mise en place d'un centre de prévention et de traitement du paludisme	Establishment of a center for the prevention and treatment of malaria			Ambassade de Chine	Chine	Ouest	Mairie de Bujumbura	Non spécifié	Non	SANTE	Santé, général
BDI/000263	Réhabilitation de la Route d'accès à la Centrale Hydroélectrique de Mugere	Rehabilitation of Access Road Hydroelectric Plant Mugere			Ambassade de Chine	Chine	Ouest	Bujumbura Rural	Non spécifié	Non	TRANSPORTS ET ENTREPOSAGE	Transport routier
BDI/000264	Construction de l'Hôpital Mpanda	Construction of Mpanda Hospital			Ambassade de Chine	Chine	Ouest	Bujumbura Rural	Non spécifié	Non	SANTE	Santé, général
BDI/000265	Appuyer les communautés pour les élections	Support communities for elections			United States Agency for International Development	États Unis d'Amérique	Ouest	Bujumbura Rural; Mairie de Bujumbura	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000266	Overcoming barriers to peace building and reconciliation through multi-religious cooperation in Burundi	Overcoming barriers to peace building and reconciliation through multi-religious cooperation in Burundi			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000267	Building transformation project	Building transformation project			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Prévention et règlement des conflits, paix et sécurité
BDI/000268	Burundi policy reform	Burundi policy reform			United States Agency for International Development	États Unis d'Amérique	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000269	Child survival Program/Mabayi	Child survival Program/Mabayi			United States Agency for International Development	États Unis d'Amérique	Ouest	Cibitoke	Mabayi	Non	AIDE HUMANITAIRE	Aide alimentaire d’urgence
BDI/000270	South Carolina States-Ngozi University	South Carolina States-Ngozi University			United States Agency for International Development	États Unis d'Amérique	Nord	Kayanza; Ngozi	Non spécifié	Non	EDUCATION	Enseignement supérieur
BDI/000271	Child survival program/Kibuye	Child survival program/Kibuye			United States Agency for International Development	États Unis d'Amérique	Centre-Est	Gitega	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000272	Planification familiale et violences basées sur le genre	Family planning and gender-based violence			United States Agency for International Development	États Unis d'Amérique	Centre-Est	Cankuzo; Ruyigi	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Politique / planification économique et du développement
BDI/000273	Research component of the PM2A	Research component of the PM2A			United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AIDE HUMANITAIRE	Reconstruction et réhabilitation
BDI/000274	Water development alliance	Water development alliance			United States Agency for International Development	États Unis d'Amérique	Ouest	Bujumbura Rural	Non spécifié	Non	DISTRIBUTION D’EAU ET ASSAINISSEMENT	Distribution d’eau potable de base et assainissement de base
BDI/000275	Prevention of malnutrition in under two's Approach (PM2A) :TUBARAMURE	Prevention of malnutrition in under two's Approach (PM2A) :TUBARAMURE		Prévention de la malnutrition aux moins de deux ans	Etats Unis d'Amérique	États Unis d'Amérique	Centre-Est	Cankuzo; Ruyigi	Non spécifié	Non	AIDE HUMANITAIRE	Reconstruction et réhabilitation
BDI/000276	Multi year assistance program	Multi year assistance program			United States Agency for International Development	États Unis d'Amérique	Nord	Kayanza; Muyinga; Kirundo	Non spécifié	Non	AGRICULTURE; SANTE	Développement agricole; Santé de base
BDI/000277	Burundi malaria program (bednets, case managment, technical assistance, ..)	Burundi malaria program (bednets, case managment, technical assistance, ..)			Etats Unis d'Amérique	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Santé de base
BDI/000278	Roads to a healthy future	Roads to a healthy future			United States Agency for International Development	États Unis d'Amérique	Centre-Est; Nord	Kayanza; Muyinga; Kirundo; Karuzi	Non spécifié	Non	SANTE	Santé, général
BDI/000279	Advancing Women's Roles, Rights and Security for Peace Building in Burundi-1	Advancing Women's Roles, Rights and Security for Peace Building in Burundi-1			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000280	Support to Gender issues in the context of the Pact on Security, stability and development in the Great Lakes Region	Support to Gender issues in the context of the Pact on Security, stability and development in the Great Lakes Region			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000281	Réhabilitation du Rôle de la femme dans le Processus de Réconciliation et de Reconstruction Communautaire	Rehabilitation of the role of women in the process of Reconciliation and Community Reconstruction			Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP))	Nations Unies	Ouest	Bubanza; Bujumbura Rural; Mairie de Bujumbura; Cibitoke	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Autres multi secteurs
BDI/000282	Advancing Women's Roles, Rights and Security for Peace Building in Burundi	Advancing Women's Roles, Rights and Security for Peace Building in Burundi			Norvège	Norvège	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne; Organisations et institutions pour l’égalité des femmes
BDI/000283	Advancing Women’s Roles, Rights and Security for Peace Building in Burundi	Advancing Women’s Roles, Rights and Security for Peace Building in Burundi			DENMARK Ministry of Foreign Affairs	Danemark	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Organisations et institutions pour l’égalité des femmes
BDI/000284	V-FLEX: Limiter l'impact de la crise financière et économique sur les pays ACP	V-FLEX: Limiting the impact of the financial and economic crisis on the ACP countries			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AIDE-PROGRAMME ET AIDE SOUS FORME DE PRODUITS	Soutien budgétaire
BDI/000285	Inter-agency Programme on the Substainable Rehabilitation of war Victims in Burundi(UN Trust Fund)	Inter-agency Programme on the Substainable Rehabilitation of war Victims in Burundi(UN Trust Fund)			Japon	Japon	Ouest; Centre-Est; Nord	Kayanza; Ngozi; Mairie de Bujumbura; Gitega	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000286	Appui à la consolidation des interventions Clés de Lutte contre le Sida	Support the consolidation of related interventions against AIDS			Global Fund	Global found	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Santé, général
BDI/000287	PRIDE	PRIDE			Global Fund	Global found	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Santé, général
BDI/000288	Promotion de la sécurité alimentaire et droits des femmes	Promoting food security and women's rights			Intermon Oxfam; Spanish Agency for International Cooperation (AECI)	Espagne; ONG	Sud	Makamba	Non spécifié	Non	AGRICULTURE	Politique agricole et gestion administrative
BDI/000289	Renforcemement des capacités et du pouvoir économique de la femme	Renforcemement capacity and economic power of women			Intermon Oxfam	ONG	Ouest	Mairie de Bujumbura	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Aide plurisectorielle
BDI/000290	CENAP/Interpeace	CENAP/Interpeace			Sida	Suède	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Prévention et règlement des conflits, paix et sécurité
BDI/000291	Renforcement du pouvoir économique de la femme	Economic empowerment of women			Intermon Oxfam	ONG	Sud; Ouest; Centre-Est; Nord	Muyinga; Cankuzo; Bubanza; Rutana; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Gitega; Cibitoke; Karuzi	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Autres multi secteurs
BDI/000292	Observation des éléctions	Observation of elections			Sida	Suède	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000293	Programme d'Appui à l'ISTEEBU	Support Programme ISTEEBU			Sida	Suède	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000294	Projet de lutte contre la pauvreté	Project to fight against poverty			Intermon Oxfam	ONG	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000295	Projet de réinsertion et de réintégration socio-économique	Proposed rehabilitation and socio-economic reintegration			Intermon Oxfam; Spanish Agency for International Cooperation (AECI)	Espagne; ONG	Sud	Makamba	Non spécifié	Non	AGRICULTURE	Vulgarisation agricole
BDI/000296	Intervention pour le soutien de la Sécurité alimentaire dans les provinces de Kayanza et Ngozi	Intervention to support food security in the provinces of Ngozi and Kayanza			Ministère des affaires Etrangères Italiennes	Italie	Nord	Kayanza; Ngozi	Non spécifié	Non	AGRICULTURE	Vulgarisation agricole
BDI/000297	Construction d'un centre MEO LINO LAVA	Construction of a center MOE LINO LAVA			PRIVE	Privé	Ouest	Mairie de Bujumbura	Non spécifié	Non	CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES	En faveur des ONG nationales
BDI/000298	Intervention d'urgence dans le secteur de l'éducation dans la province de KAYANZA financé par la coopération italienne	Of emergency in the education sector response in the province of KAYANZA funded by the Italian Cooperation			Ministère des affaires Etrangères Italiennes	Italie	Nord	Kayanza	Non spécifié	Non	EDUCATION	Enseignement primaire
BDI/000299	Soutien à distance	Remote Support			PRIVE	Privé	Ouest; Nord	Kayanza; Ngozi; Mairie de Bujumbura	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Autres multi secteurs
BDI/000300	Intervention pour l'amélioration de la qualité de vie et de la capacité de développement des ménages vulnérables, travers l'amélioration du système de l'éducation primaire	Intervention to improve the quality of life and development capacity of vulnerable households by improving the system of primary education			Commission de l'Union Européenne	Commission de l'Union Européenne	Nord	Kayanza; Ngozi	Non spécifié	Non	AIDE HUMANITAIRE	Reconstruction et réhabilitation
BDI/000301	Projet d'intégration de l'environnement dans l'amélioration de la production agricole dans les exploitations	Integration of the environment in the improvement of agricultural production farms project			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000302	Protection et défense des droits des orphelins et autres enfants vulnérables par les Communautés	Protection and defense of the rights of orphans and other vulnerable children by Communities			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000303	Contribution à la promotion de l'égalité, tolérance, et de la paix pour le peuple minoritaire Batwa	Contribution to the promotion of equality, tolerance, and peace for the minority Batwa			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000304	L'Éducation civique et la sensibilisation des citoyens burundais aux élections de 2010.	Civic Education and awareness of Burundian citizens in the 2010 elections.			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Élections
BDI/000305	Éducation électorale et citoyenne	Voter education and citizen			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Élections
BDI/000306	Renforcement des capacités du Ministère de l'Agriculture et de l'élevage (Enveloppe B)	Capacity building of the Ministry of Agriculture and Livestock (Envelope B)			Commission de l'Union Européenne	Commission de l'Union Européenne	Non spécifié	Non spécifié	Non spécifié	Non	AGRICULTURE	Services agricoles
BDI/000307	Construction de la RN13	Construction of the RN13			Commission de l'Union Européenne	Commission de l'Union Européenne	Centre-Est	Cankuzo; Ruyigi	Non spécifié	Non	TRANSPORTS ET ENTREPOSAGE	Transport routier
BDI/000308	Promouvoir l'amélioration des conditions de vie de la population des zones rurales dans les communes de Matongo, Muruta, Kabarore et Busiga à travers des interventions dans le secteur de l'éducation	Promote the improvement of living conditions of the rural population in the communes of Matongo Muruta, Kabarore and Busiga through interventions in the education sector			Ministère des affaires Etrangères Italiennes	Italie	Nord	Kayanza; Ngozi	Non spécifié	Non	EDUCATION	Éducation, niveau non spécifié
BDI/000309	Renforcer le Sytème de Santé	Decomposition Systems Strengthening Health			Glabal Alliance for Vaccines and Immunization	Glabal Alliance for Vaccines and Immunization	Sud; Centre-Est; Nord	Kayanza; Mwaro; Bururi; Gitega	Non spécifié	Non	SANTE	Santé, général
BDI/000310	Aborder la question de la vulnérabilité des enfants en situation de handicap face à la violence sexuelle dans quatre pays d'Afrique ».	Addressing the vulnerability of children with disabilities to sexual violence in four African countries. "			OAK	ONG	Ouest; Centre-Est; Nord	Ngozi; Bujumbura Rural; Mairie de Bujumbura; Gitega	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000311	Amélioration des services de lutte contre les VBG et accès pour les personnes en situation de handicap	Improving services to fight against GBV and access for people with disabilities			Handicap International France- ANC	ONG	Ouest; Centre-Est; Nord	Ngozi; Bujumbura Rural; Mairie de Bujumbura; Gitega	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000312	Un pas vers le promotion et le développement de l'éducation inclusive au Burundi : pour une réelle éducation pour tous	A step towards the promotion and development of inclusive education in Burundi for a real education for all			Agence Francaise de Développement	France	Ouest; Centre-Est	Bujumbura Rural; Mairie de Bujumbura; Gitega	Non spécifié	Non	EDUCATION	Éducation de base
BDI/000313	"Projet DEAR  Le Diabete dans la région d’Afrique de l’Est: Renforcement des systèmes de santé et émancipation des personnes vivant avec le Diabète (Burundi, Kenya, Tanzanie "	"DEAR The Diabetes Project in the Eastern Region Africa: Strengthening health systems and empowerment of people living with diabetes (Burundi, Kenya, Tanzania "			Handicap International France- ANC	ONG	Sud; Ouest; Nord	Ngozi; Mairie de Bujumbura; Makamba	Non spécifié	Non	SANTE	Éducation et formation médicales
BDI/000314	Service civil pour la paix, DED	Civil Peace Service, DED			Allemagne	Allemagne	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Dispositifs civils de construction de la paix, et de prévention et de règlement des conflits
BDI/000315	Renforcement des initiatives locales dans la lutte contre le VIH-SIDA en faveur des personnes handicapées au Burundi	Strengthening local initiatives in the fight against HIV-AIDS for persons with disabilities in Burundi			Handicap International France- ANC	ONG	Non spécifié	Non spécifié	Non spécifié	Non	SANTE	Santé, général
BDI/000316	Soins et entretien des Réfugiés Urbains	Care and maintenance of Urban Refugees			Handicap International France- ANC	ONG	Ouest	Mairie de Bujumbura	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
